10/4/2021,-0.27%
10/5/2021,0.73%
10/6/2021,0.01%
10/7/2021,0.25%
10/8/2021,-0.36%
10/11/2021,0.38%
10/12/2021,0.42%
10/13/2021,1.11%
10/14/2021,0.29%
10/15/2021,0.38%
10/18/2021,1.10%
10/19/2021,-0.02%
10/20/2021,0.05%
10/21/2021,0.05%
10/22/2021,-0.08%
10/25/2021,0.50%
10/26/2021,0.15%
10/27/2021,0.09%
10/28/2021,0.02%
10/29/2021,0.14%
11/1/2021,0.08%
11/2/2021,0.29%
11/3/2021,-0.40%
11/4/2021,-0.10%
11/5/2021,-0.51%
11/8/2021,0.53%
11/9/2021,0.20%
11/10/2021,0.16%
11/11/2021,0.61%
11/12/2021,-0.07%
11/15/2021,-0.41%
11/16/2021,0.09%
11/17/2021,0.55%
11/18/2021,0.26%
11/19/2021,0.18%
11/22/2021,0.31%
11/23/2021,-0.28%
11/24/2021,-0.03%
11/25/2021,0.17%
11/26/2021,0.31%
11/29/2021,1.02%
11/30/2021,-0.23%
12/1/2021,0.20%
12/2/2021,-0.01%
12/3/2021,-0.05%
12/6/2021,-0.50%
12/7/2021,-0.05%
12/8/2021,-0.22%
12/9/2021,0.16%
12/10/2021,-0.20%
12/13/2021,0.66%
12/14/2021,-0.13%
12/15/2021,0.39%
12/16/2021,-0.06%
12/17/2021,-0.88%
12/20/2021,0.27%
12/21/2021,0.32%
12/22/2021,-0.19%
12/23/2021,-0.12%
12/24/2021,-0.07%
12/27/2021,0.29%
12/28/2021,0.18%
12/29/2021,0.59%
12/30/2021,-0.24%
12/31/2021,-0.05%
1/3/2022,-0.48%
1/4/2022,0.04%
1/5/2022,0.20%
1/6/2022,0.08%
1/7/2022,-0.06%
1/10/2022,-0.31%
1/11/2022,0.49%
1/12/2022,0.33%
1/13/2022,-0.20%
1/14/2022,0.22%
1/17/2022,-0.05%
1/18/2022,-0.30%
1/19/2022,0.05%
1/20/2022,0.40%
1/21/2022,-0.23%
1/24/2022,-0.19%
1/25/2022,0.19%
1/26/2022,0.59%
1/27/2022,0.00%
1/28/2022,0.23%
1/31/2022,-0.09%
2/1/2022,0.47%
2/2/2022,-0.11%
2/3/2022,-0.25%
2/4/2022,0.20%
2/7/2022,0.25%
2/8/2022,-0.47%
2/9/2022,0.54%
2/10/2022,-0.51%
2/11/2022,0.24%
2/14/2022,0.02%
2/15/2022,-0.01%
2/16/2022,0.39%
2/17/2022,-0.03%
2/18/2022,-0.18%
2/21/2022,0.28%
2/22/2022,-0.22%
2/23/2022,0.16%
2/24/2022,-0.25%
2/25/2022,-0.20%
2/28/2022,-0.78%
3/1/2022,0.34%
3/2/2022,-0.07%
3/3/2022,0.08%
3/4/2022,-0.07%
3/7/2022,-0.33%
3/8/2022,-0.24%
3/9/2022,0.31%
3/10/2022,0.59%
3/11/2022,0.25%
3/14/2022,0.28%
3/15/2022,0.07%
3/16/2022,-0.06%
3/17/2022,-0.05%
3/18/2022,0.03%
3/21/2022,-0.28%
3/22/2022,-0.20%
3/23/2022,0.23%
3/24/2022,-0.20%
3/25/2022,0.49%
3/28/2022,-0.09%
3/29/2022,-0.03%
3/30/2022,0.06%
3/31/2022,1.21%
4/1/2022,-0.17%
4/4/2022,0.40%
4/5/2022,-0.09%
4/6/2022,0.27%
4/7/2022,0.13%
